"Default Store View", "English"
"Add to Wish List", "Add to WishList"
"Add to Compare", "Compare"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Regular Price", "was"
"Shop By","Filter"
"Remove item", "Remove"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"Search entire store here...", "Search"
"More Information", "Details"
"Shopping Cart", "Your Cart"
"Enter discount code", "Enter promo code (optional)"
"Discount code", "Promo code"
"Apply Discount Code", "Promo code"
"Apply Discount", "Submit"
"Cancel Coupon", "Cancel Promo"
"Proceed to Checkout", "Checkout"
"Estimate Shipping and Tax", "Shipping"
